"company name","company website","article title","article url"
"LoopPay","http://looppay.com","Payments Startup Loop Debuts A Mobile Wallet App That Lets You Pay With Your iPhone","http://techcrunch.com/2014/02/19/payments-startup-loop-debuts-a-mobile-wallet-app-that-lets-you-pay-with-your-iphone/"
"Umoove","http://umoove.me","Umoove Opens A Selective Android SDK For Its Mobile Head-Tracking Tech","http://techcrunch.com/2014/02/19/umoove-android-adk-beta/"
"Amazon","http://amazon.com/","Amazon Coins Come To Android Users In U.S., U.K. & Germany","http://techcrunch.com/2014/02/19/amazon-coins-come-to-android-users-in-u-s-u-k-germany/"
"Grand St.","http://grandst.com","Grand St Launches Self-Serve Marketplace For Hardware Makers To List Their Goods","http://techcrunch.com/2014/02/19/grand-st-self-serve-marketplace/"
"Humble Bundle","https://www.humblebundle.com/","Humble Bundle Switches To Steam-Like Region-Based Pricing For The Humble Store","http://techcrunch.com/2014/02/19/humble-bundle-switches-to-steam-like-region-based-pricing-for-the-humble-store/"
"HTC Corp","http://www.htc.com","New 2014 HTC One Leaked In Gold With Dual Camera And Twin Flash","http://techcrunch.com/2014/02/19/new-2014-htc-one-leaked-in-gold-with-dual-camera-and-twin-flash/"
"N/A","N/A","The First Bitcoin ATM In The US Is Opening In Austin, Texas","http://techcrunch.com/2014/02/19/the-first-bitcoin-atm-in-the-us-is-opening-in-austin-texas/"
"Side.Cr","http://www.side.cr/","After Raising $10M From USV, SideCar Pivots To Offer A Ride-sharing Marketplace","http://techcrunch.com/2014/02/19/sidecar-usv-app-update/"
"ZenPayroll","http://www.zenpayroll.com","Cloud-Based Payroll App ZenPayroll Raises $20M From General Catalyst And Kleiner At A $100M-Plus Valuation","http://techcrunch.com/2014/02/19/cloud-based-payroll-app-zenpayroll-raises-20m-from-general-catalyst-and-kleiner-at-a-100m-plus-valuation/"
"Condition One","http://www.conditionone.com","Immersive Video Startup Condition One Demos 360-Degree Trailer For Oculus Rift","http://techcrunch.com/2014/02/19/condition-one-oculus-rift/"
"Apple","http://www.apple.com","Apple Bringing iTunes Festival Stateside For The First Time At SXSW 2014","http://techcrunch.com/2014/02/19/apple-bringing-itunes-festival-stateside-for-the-first-time-at-sxsw-2014/"
"Beep","http://www.thisisbeep.com","Beep Aims For Sonos In The Race To Network Home Audio","http://techcrunch.com/2014/02/19/beep-aims-for-sonos-in-the-race-to-network-home-audio/"
"Samsung Electronics","http://samsung.com","Samsung Said To Be Tapping Tizen For Next Generation Galaxy Gear Smartwatch","http://techcrunch.com/2014/02/19/samsung-said-to-be-tapping-tizen-for-next-generation-galaxy-gear-smartwatch/"
"OpenX","http://openx.com","Ad Company OpenX Hires Longtime Hulu Exec Tom Fuelling As CFO","http://techcrunch.com/2014/02/19/openx-hires-tom-fuelling-cfo/"
"Skyhigh Networks","http://www.skyhighnetworks.com/","Skyhigh Debuts CloudRisk, A Tool To Help Large Companies Track Their Cloud Exposure","http://techcrunch.com/2014/02/19/skyhigh-debuts-cloudrisk-a-tool-to-help-large-companies-track-their-cloud-exposure/"
"LinkedIn","http://linkedin.com","LinkedIn Opens Its Publishing Platform To All Members","http://techcrunch.com/2014/02/19/linkedin-opens-its-publishing-platform-to-all-members/"
"Apple","http://www.apple.com","Apple Back Among The Top Five Smartphone Vendors In China On iPhone 5s Success, IDC Reports","http://techcrunch.com/2014/02/19/apple-back-among-the-top-five-smartphone-vendors-in-china-on-iphone-5s-success-idc-reports/"
"Weave","http://www.getweave.com/","An AT&T For Dentistry? Y Combinator-Backed Weave Launches To Bring Modern Telecom To SMBs","http://techcrunch.com/2014/02/19/an-att-for-dentistry-y-combinator-backed-weave-launches-to-bring-modern-telecom-to-smbs/"
"Renaissance Learning","http://www.renlearn.com","Google Capital Invests $40M In Learning Analytics Firm Renaissance Learning At $1B Valuation","http://techcrunch.com/2014/02/19/google-capital-invests-40m-in-learning-analytics-firm-renaissance-learning-at-1b-valuation/"
"Microsoft","http://www.microsoft.com","Microsoft Officially Rebrands SkyDrive To OneDrive","http://techcrunch.com/2014/02/19/microsoft-officially-rebrands-skydrive-to-onedrive/"
